,e10,e30,e100,n10,n30,n100
VAE,11425.87109375,11418.4677734375,11414.8564453125,11419.4326171875,11413.509765625,11410.462890625
"IWAE, K=10",11420.16015625,11414.927734375,11411.8056640625,11417.9990234375,11412.69140625,11409.705078125
"IWAE, K=50",11418.734375,11413.5263671875,11409.91015625,11418.744140625,11412.9580078125,11409.380859375
"AMCVAE, K=3, fixed",11420.6220703125,11412.3662109375,11411.3623046875,11415.4541015625,11409.3134765625,11408.474609375
"AMCVAE, K=3, sigmoidal",11421.064453125,11412.951171875,11411.9521484375,11415.5732421875,11409.83203125,11408.9638671875
"AMCVAE, K=3, all_learnable",11420.36328125,11412.16015625,11411.140625,11415.3623046875,11409.1875,11408.22265625
"AMCVAE, K=5, fixed",11421.513671875,11412.0712890625,11410.974609375,11417.1572265625,11409.2392578125,11408.2705078125
"AMCVAE, K=5, sigmoidal",11418.671875,11411.435546875,11410.3291015625,11414.4521484375,11408.6142578125,11407.591796875
"AMCVAE, K=5, all_learnable",11419.3408203125,11411.4873046875,11410.322265625,11415.1162109375,11408.6435546875,11407.7763671875
"LMCVAE, K=5, fixed",11423.3056640625,11413.6552734375,11412.4716796875,11418.0595703125,11410.712890625,11409.626953125
"LMCVAE, K=5, sigmoidal",11422.23828125,11414.13671875,11412.7080078125,11417.5498046875,11411.1123046875,11409.927734375
"LMCVAE, K=5, all_learnable",11424.1220703125,11415.0498046875,11413.7890625,11419.1669921875,11412.0498046875,11410.8896484375
"LMCVAE, K=10, fixed",11420.5791015625,11412.57421875,11411.2744140625,11417.62109375,11410.41015625,11409.18359375
"LMCVAE, K=10, sigmoidal",11422.580078125,11413.001953125,11411.646484375,11419.4736328125,11410.7080078125,11409.544921875
"LMCVAE, K=10, all_learnable",11422.013671875,11412.6748046875,11411.58203125,11419.6533203125,11410.658203125,11409.384765625
