,e10,e30,e100,n10,n30,n100
VAE,2869.47119140625,2869.240966796875,2868.76611328125,2868.443359375,2868.155029296875,2867.869873046875
"IWAE, K=10",2869.84033203125,2869.314697265625,2869.135498046875,2868.529541015625,2867.9609375,2867.734375
"IWAE, K=50",2869.826171875,2869.584716796875,2869.459228515625,2868.95263671875,2868.6171875,2867.9619140625
"AMCVAE, K=3, fixed",2870.216064453125,2868.242431640625,2868.025634765625,2868.928955078125,2867.685546875,2867.450439453125
"AMCVAE, K=3, sigmoidal",2871.04931640625,2868.356201171875,2868.045166015625,2869.35546875,2867.677490234375,2867.458740234375
"AMCVAE, K=3, all_learnable",2870.55126953125,2868.78271484375,2868.01708984375,2869.0068359375,2867.6611328125,2867.430908203125
"AMCVAE, K=5, fixed",2870.69677734375,2868.32861328125,2868.0302734375,2869.59716796875,2867.737060546875,2867.491455078125
"AMCVAE, K=5, sigmoidal",2870.41650390625,2868.3525390625,2868.02294921875,2869.1494140625,2867.73046875,2867.47265625
"AMCVAE, K=5, all_learnable",2872.255615234375,2868.33740234375,2867.976806640625,2870.68310546875,2867.744873046875,2867.4501953125
"LMCVAE, K=5, fixed",2869.44677734375,2868.666259765625,2868.29833984375,2869.8974609375,2867.89306640625,2867.63427734375
"LMCVAE, K=5, sigmoidal",2870.854248046875,2868.651123046875,2868.341796875,2869.396728515625,2867.90625,2867.64306640625
"LMCVAE, K=5, all_learnable",2871.05126953125,2868.64990234375,2868.293701171875,2869.767333984375,2867.90185546875,2867.6298828125
"LMCVAE, K=10, fixed",2870.71044921875,2868.423583984375,2868.120361328125,2869.66357421875,2867.8359375,2867.576904296875
"LMCVAE, K=10, sigmoidal",2871.091796875,2868.426513671875,2868.111083984375,2870.109375,2867.836181640625,2867.5537109375
"LMCVAE, K=10, all_learnable",2871.111083984375,2868.456787109375,2868.087158203125,2870.037109375,2867.828125,2867.569580078125
