num_samples,hidden_dim,dataset,name,K,annealing_scheme
5.0,128.0,cifar,AIS_VAE,3.0,sigmoidal
5.0,128.0,cifar,AIS_VAE,3.0,all_learnable
5.0,128.0,cifar,AIS_VAE,3.0,all_learnable
5.0,128.0,cifar,AIS_VAE,3.0,sigmoidal
5.0,128.0,cifar,AMCVAE,3.0,linear
5.0,128.0,cifar,AMCVAE,3.0,sigmoidal
5.0,128.0,cifar,AMCVAE,3.0,all_learnable
5.0,64.0,mnist,AMCVAE,3.0,linear
5.0,64.0,mnist,AMCVAE,3.0,sigmoidal
5.0,64.0,mnist,AMCVAE,3.0,all_learnable
5.0,128.0,cifar,AIS_VAE,3.0,all_learnable
5.0,128.0,cifar,AMCVAE,3.0,linear
5.0,64.0,mnist,AMCVAE,3.0,linear
5.0,128.0,cifar,AMCVAE,3.0,sigmoidal
5.0,64.0,mnist,AMCVAE,3.0,sigmoidal
5.0,128.0,cifar,AMCVAE,3.0,all_learnable
5.0,64.0,mnist,AMCVAE,3.0,all_learnable
1.0,64.0,mnist,ULA_VAE,5.0,sigmoidal
1.0,128.0,cifar,ULA_VAE,5.0,all_learnable
5.0,128.0,cifar,AIS_VAE,5.0,all_learnable
5.0,128.0,cifar,AIS_VAE,5.0,sigmoidal
5.0,128.0,cifar,AIS_VAE,5.0,all_learnable
5.0,128.0,cifar,AIS_VAE,5.0,sigmoidal
5.0,128.0,cifar,AIS_VAE,5.0,sigmoidal
1.0,128.0,cifar,ULA_VAE,5.0,sigmoidal
5.0,128.0,cifar,AMCVAE,5.0,linear
5.0,128.0,cifar,AMCVAE,5.0,sigmoidal
5.0,128.0,cifar,AMCVAE,5.0,all_learnable
1.0,128.0,cifar,LMCVAE,5.0,linear
1.0,128.0,cifar,LMCVAE,5.0,sigmoidal
1.0,128.0,cifar,LMCVAE,5.0,all_learnable
5.0,64.0,mnist,AMCVAE,5.0,linear
5.0,64.0,mnist,AMCVAE,5.0,sigmoidal
5.0,64.0,mnist,AMCVAE,5.0,all_learnable
1.0,64.0,mnist,LMCVAE,5.0,linear
1.0,64.0,mnist,LMCVAE,5.0,sigmoidal
1.0,64.0,mnist,LMCVAE,5.0,all_learnable
1.0,128.0,cifar,ULA_VAE,5.0,all_learnable
5.0,128.0,cifar,AMCVAE,5.0,linear
5.0,64.0,mnist,AMCVAE,5.0,linear
5.0,128.0,cifar,AMCVAE,5.0,sigmoidal
5.0,64.0,mnist,AMCVAE,5.0,sigmoidal
5.0,128.0,cifar,AMCVAE,5.0,all_learnable
5.0,64.0,mnist,AMCVAE,5.0,all_learnable
1.0,128.0,cifar,ULA_VAE,5.0,sigmoidal
5.0,128.0,cifar,AMCVAE,5.0,all_learnable
1.0,128.0,cifar,LMCVAE,5.0,linear
1.0,64.0,mnist,LMCVAE,5.0,linear
1.0,128.0,cifar,LMCVAE,5.0,sigmoidal
1.0,128.0,cifar,LMCVAE,5.0,all_learnable
1.0,64.0,mnist,LMCVAE,5.0,sigmoidal
1.0,64.0,mnist,LMCVAE,5.0,all_learnable
1.0,64.0,mnist,ULA_VAE,10.0,all_learnable
1.0,128.0,cifar,ULA_VAE,10.0,all_learnable
1.0,128.0,cifar,LMCVAE,10.0,linear
1.0,128.0,cifar,ULA_VAE,10.0,sigmoidal
1.0,128.0,cifar,LMCVAE,10.0,sigmoidal
1.0,128.0,cifar,LMCVAE,10.0,all_learnable
1.0,64.0,mnist,LMCVAE,10.0,linear
1.0,128.0,cifar,LMCVAE,10.0,linear
1.0,128.0,cifar,LMCVAE,10.0,sigmoidal
1.0,64.0,mnist,LMCVAE,10.0,linear
1.0,128.0,cifar,ULA_VAE,10.0,sigmoidal
1.0,128.0,cifar,LMCVAE,10.0,all_learnable
1.0,64.0,mnist,LMCVAE,10.0,sigmoidal
1.0,64.0,mnist,LMCVAE,10.0,all_learnable
1.0,128.0,cifar,ULA_VAE,10.0,all_learnable
1.0,128.0,cifar,VAE,,
10.0,128.0,cifar,IWAE,,
50.0,128.0,cifar,IWAE,,
1.0,64.0,mnist,VAE,,
10.0,64.0,mnist,IWAE,,
50.0,64.0,mnist,IWAE,,
1.0,128.0,cifar,VAE,,
1.0,64.0,mnist,VAE,,
10.0,128.0,cifar,IWAE,,
10.0,64.0,mnist,IWAE,,
1.0,64.0,mnist,VAE,,
1.0,128.0,cifar,VAE,,
10.0,128.0,cifar,IWAE,,
10.0,64.0,mnist,IWAE,,
50.0,128.0,cifar,IWAE,,
50.0,64.0,mnist,IWAE,,
